product_name,image_link,rating,price,number_of_ratings,product_link,price_before_discount,brand,operating_system,RAM,CPU,storage,screen_size,cellular_technology,model_name,cpu_model,available_colors
"Unlocked Android phone, C20 PRO Android 13 Cell Phone, 2024 5G Phone, 8GB+256GB, 13MP+50MP Camera, 6800mAh Large Battery, Unique Appearance Design, Fingerprint Face unlock Dual SIM (Black.2)",https://m.media-amazon.com/images/I/61TDR0cVLHL._AC_UL320_.jpg,2.2 out of 5 stars,104.99,21,/Unlocked-C20-PRO-Appearance-Fingerprint/dp/B0D2NP9KD8/ref=sr_1_724?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-724,$119.99,XUANMEIKE,Android 13.0,8 GB,,256 GB,6.7 Inches,5G,C20 PRO,,"Black, Black.2, Green, Green.2, White.2"
SAMSUNG Galaxy A03 32GB Black-Verzion (Renewed),https://m.media-amazon.com/images/I/61xq2Mw3qFL._AC_UL320_.jpg,3.6 out of 5 stars,52.98,32,/SAMSUNG-Galaxy-A03s-Verizon-SM-A037UZKAVZW/dp/B0BSB5FY9W/ref=sr_1_725?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-725,$59.29,SAMSUNG,Android 11.0,3 GB,2.3 GHz,32 GB,6.5 Inches,4G,Galaxy A03s,,Black
"OUKITEL WP35 Rugged Phone 5G - 11000mAh Large Battery Android 14 Rugged Smartphone, 24GB RAM+256GB ROM/TF 2TB, 6.6"" FHD+ Corning Screen, IP68 Mobile Phone, 64MP+32MP Camera, NFC/BT5.2/T-Mobile, Green",https://m.media-amazon.com/images/I/91PANGo5yQL._AC_UL320_.jpg,4.3 out of 5 stars,329.99,62,/OUKITEL-WP35-Rugged-Phone-Smartphone/dp/B0D4YTXSWK/ref=sr_1_726?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-726,,OUKITEL,Android 14,24 GB,2.2 GHz,256 GB,6.6 Inches,5G,WP35,,"Green, Grey"
"Apple iPhone XS Max, US Version, 512GB, Space Gray - Unlocked (Renewed)",https://m.media-amazon.com/images/I/61zUn+1p2uL._AC_UL320_.jpg,4.4 out of 5 stars,328.97,654,/Apple-iPhone-Fully-Unlocked-Renewed/dp/B07P6298Y8/ref=sr_1_727?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-727,,Apple,iOS,,,512 GB,6.5 Inches,"GSM, EDGE, UMTS, HSPA, HSDPA, CDMA, EV-DO, LTE",iPhone XS Max,,
"Google Pixel 7a 5G (128GB, 8GB) 6.1"" OLED, 4K Camera (AT&T Locked - 5G / 4G LTE) (Charcoal) (Renewed)",https://m.media-amazon.com/images/I/51D6rXJQBIL._AC_UL320_.jpg,4.2 out of 5 stars,249.95,10,/Google-Pixel-7a-Camera-Locked/dp/B0CLBZ7NDP/ref=sr_1_728?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-728,,Google,,8 GB,,,6.1 Inches,,Pixel 7a Duos,,
"Poco C65 4G LTE GSM (256GB + 8GB) 50MP Triple Camera 6.74"" Octa Core (Tmobile Mint Tello Global) Global Unlocked + (w/Fast 33w Car Charger) (Blue Global ROM)",https://m.media-amazon.com/images/I/513DQGmivPL._AC_UL320_.jpg,4.6 out of 5 stars,137.50,"2,555",/Poco-Triple-Tmobile-Unlocked-Charger/dp/B0CMRWYF9P/ref=sr_1_729?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-729,,Xiaomi,"MIUI 14 for POCO, based on Android 12",8 GB,,256 GB,6.74 Inches,4G,c65,,"Black Global ROM, Blue Global ROM, Purple Global ROM"
"SAMSUNG Galaxy A54 5G (128GB, 6GB) 6.4"" 120Hz AMOLED, 50MP 4K Triple Camera, 5G / 4G Volte (International Model Fully Unlocked for AT&T, T-Mobile, Verizon, Global) A546U1 (w/ 25W Charger Cube, Black)",https://m.media-amazon.com/images/I/51orKJJMfTL._AC_UL320_.jpg,3.1 out of 5 stars,299.95,12,/SAMSUNG-International-Unlocked-T-Mobile-Verizon/dp/B0CV4HZDL4/ref=sr_1_730?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-730,$324.95,SAMSUNG,Android 13.0,6 GB,2 GHz,128 GB,6.4 Inches,5G,Galaxy A54 5G,,Awesome Black
HUAWEI nova Y90 Dual-SIM 128GB ROM + 6GB RAM (GSM only | No CDMA) Factory Unlocked 4G/LTE Smartphone (Crystal Blue) - International Version,https://m.media-amazon.com/images/I/61RCPjVXQzL._AC_UL320_.jpg,3.6 out of 5 stars,199.99,23,/HUAWEI-Dual-SIM-Factory-Unlocked-Smartphone/dp/B0B79LGGJN/ref=sr_1_731?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-731,,HUAWEI,EMUI 12,6 GB,2.4 GHz,128 GB,6.7 Inches,4G,Huawei nova Y90,,
"Samsung Electronics Galaxy Note 20 Ultra 5G N986U Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery - T-Mobile Locked - (Renewed)",https://m.media-amazon.com/images/I/51tQeY4+e3L._AC_UL320_.jpg,4.1 out of 5 stars,346.00,151,/Samsung-Electronics-Galaxy-Ultra-Long-Lasting/dp/B0933K762G/ref=sr_1_732?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-732,,SAMSUNG,Android,8 GB,,128 GB,6.9 Inches,5G,Galaxy Note 20 Ultra 5G,,
SAMSUNG Galaxy | S9 + Plus | G965U | 64GB | Fully Unlocked | (Coral Blue) (Renewed),https://m.media-amazon.com/images/I/71rKPhtNR3L._AC_UL320_.jpg,4.0 out of 5 stars,158.99,43,/SAMSUNG-Galaxy-S9-Unlocked-Renewed/dp/B0CJX5CX3M/ref=sr_1_733?dib=eyJ2IjoiMSJ9.K8GpmxqP9V2akGGCpQYKWfL5VuvM32o-KDeQEzQrPOeUOm5R8Je2jhnak7ikBRnhOTXvH6-xqsYEkJ1WbC-vDfMTaVNtz9HKtVAmMINb2fThIfEVm_xg2ZxW80y2vioVOdMUxJt_gVEdV1zet3Es_sCzlj_kXl4qixEvro4DLGoBYp2JkBmmSeNGT35PVAVrjPSD3L8egTvF2Oy57e5KchEvoXOdYVLHUwX0ZcCgyyQLRMgP5w7TtwvR4FxNKslvl3kNiZgQT2wwJOSHcKzFE01FmpR9kQ07hrKxDIKtm6Y.oyCvbEtDn-zgOd9ozF_LuyWunBMBm5r54nJolHeNRhU&dib_tag=se&qid=1725966025&s=wireless&sr=1-733,$185.00,SAMSUNG,Android 8.0,4 GB,,4 GB,6.2,4G,Galaxy S9,Snapdragon S1,Coral Blue
